experiment_id,subject_id,note,random_seed,created_at,order_index,block_index,condition_id,mode,direction_percent,pulse_duration_ms,pulse_phase,sine_amplitude_percent,sine_period_steps
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,1,0,B01,baseline,,,,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,2,1,C22,pulse,20,250,P_start,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,3,1,C26,pulse,20,300,P_end,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,4,1,C06,pulse,-20,250,P_mid,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,5,1,C09,pulse,-20,300,P_mid,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,6,1,C23,pulse,20,250,P_end,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,7,1,C17,pulse,0,300,P_end,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,8,2,C16,pulse,0,300,P_start,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,9,2,C05,pulse,-20,250,P_end,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,10,2,C15,pulse,0,250,P_mid,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,11,2,S01,sine,,,P_mid,20,400
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,12,2,C10,pulse,0,200,P_start,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,13,2,C08,pulse,-20,300,P_end,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,14,3,C03,pulse,-20,200,P_mid,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,15,3,C24,pulse,20,250,P_mid,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,16,3,C19,pulse,20,200,P_start,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,17,3,C01,pulse,-20,200,P_start,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,18,3,C27,pulse,20,300,P_mid,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,19,3,C13,pulse,0,250,P_start,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,20,4,C20,pulse,20,200,P_end,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,21,4,C12,pulse,0,200,P_mid,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,22,4,C25,pulse,20,300,P_start,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,23,4,C11,pulse,0,200,P_end,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,24,4,C21,pulse,20,200,P_mid,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,25,4,C07,pulse,-20,300,P_start,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,26,5,C02,pulse,-20,200,P_end,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,27,5,C18,pulse,0,300,P_mid,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,28,5,C04,pulse,-20,250,P_start,,
EX0521-092111,霍智浩,,468939,2026-05-21T09:21:11.827360,29,5,C14,pulse,0,250,P_end,,
